point_id,history_tag,event_type,start_time,end_time,duration_seconds,limit,extreme_value,extreme_time,is_open,message
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-04T11:28:09.250000,2026-08-04T11:53:19.250000,1510.0,39.5,39.5791810448,2026-08-04T11:45:49.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-04T11:54:39.250000,2026-08-04T12:10:59.250000,980.0,39.5,39.5439835484,2026-08-04T12:02:39.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-10T14:55:39.250000,2026-08-10T16:59:59.250000,7460.0,38.5,38.3020326471,2026-08-10T15:55:19.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-10T17:13:49.250000,2026-08-10T18:36:19.250000,4950.0,38.5,38.2716645763,2026-08-10T18:02:29.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-12T12:35:59.250000,2026-08-12T12:45:49.250000,590.0,39.5,39.5354088571,2026-08-12T12:41:09.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-12T13:52:59.250000,2026-08-12T16:06:29.250000,8010.0,39.5,39.8114429032,2026-08-12T14:54:59.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-21T13:55:19.250000,2026-08-21T14:18:59.250000,1420.0,39.5,39.5550693443,2026-08-21T14:07:59.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-21T14:20:09.250000,2026-08-21T14:42:29.250000,1340.0,39.5,39.5357652941,2026-08-21T14:34:19.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-21T21:38:39.250000,2026-08-21T22:06:59.250000,1700.0,39.5,39.5560196774,2026-08-21T22:00:19.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-24T01:24:29.250000,2026-08-24T03:32:59.250000,7710.0,38.5,38.3054426667,2026-08-24T01:46:29.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-24T03:37:09.250000,2026-08-24T04:33:09.250000,3360.0,38.5,38.3645201449,2026-08-24T04:06:29.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-24T07:15:29.250000,2026-08-24T13:19:49.250000,21860.0,38.5,37.7605648333,2026-08-24T08:23:19.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-24T13:22:39.250000,2026-08-24T13:36:19.250000,820.0,38.5,38.4426758462,2026-08-24T13:28:59.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-24T14:20:39.250000,2026-08-24T15:49:19.250000,5320.0,38.5,38.1735752239,2026-08-24T15:10:09.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-24T17:48:59.250000,2026-08-24T18:06:09.250000,1030.0,38.5,38.432025,2026-08-24T18:01:59.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-24T18:14:19.250000,2026-08-24T18:25:49.250000,690.0,38.5,38.4724089706,2026-08-24T18:16:59.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-25T01:33:09.250000,2026-08-25T01:39:59.250000,410.0,39.5,39.5185451563,2026-08-25T01:37:49.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-25T01:40:59.250000,2026-08-25T01:48:19.250000,440.0,39.5,39.5156009375,2026-08-25T01:46:29.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-25T01:52:39.250000,2026-08-25T03:09:49.250000,4630.0,39.5,39.7232504762,2026-08-25T02:17:09.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-29T04:30:49.250000,2026-08-29T04:40:19.250000,570.0,39.5,39.5422056452,2026-08-29T04:34:19.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,high_limit,2026-08-29T04:42:19.250000,2026-08-29T04:53:39.250000,680.0,39.5,39.5488704615,2026-08-29T04:50:39.250000,False,same LIC-217016 rule: high_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-08-31T07:24:29.250000,2026-08-31T09:23:59.250000,7170.0,38.5,37.9134875,2026-08-31T08:20:49.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-09-01T18:15:49.250000,2026-09-01T19:10:29.250000,3280.0,38.5,38.414574,2026-09-01T18:53:19.250000,False,same LIC-217016 rule: low_limit for LIC-217016
LIC-217016,LIC-217016/PID1/PV.CV,low_limit,2026-09-01T19:17:09.250000,2026-09-01T19:24:49.250000,460.0,38.5,38.4856673438,2026-09-01T19:18:49.250000,False,same LIC-217016 rule: low_limit for LIC-217016
